Company	CIK	Total Value (USD)
VANGUARD GROUP INC	102909	2.3885940207664e+16
BlackRock Inc.	1364742	1.3687182592159e+16
STATE STREET CORP	93751	1.0585408345423e+16
FMR LLC	315066	5542974638536000.0
MORGAN STANLEY	895421	2827745142491000.0
WELLINGTON MANAGEMENT GROUP LLP	902219	2030321261329000.0
Capital World Investors	1422849	1977621365292000.0
GOLDMAN SACHS GROUP INC	886982	1909460269439000.0
BANK OF AMERICA CORP /DE/	70858	1881997897702000.0
CITADEL ADVISORS LLC	1423053	1833024986918000.0
NORGES BANK	1374170	1636582957137000.0
BERKSHIRE HATHAWAY INC	1067983	1598825046741000.0
Capital International Investors	1562230	1569810134284000.0
AMERIPRISE FINANCIAL INC	820027	1525204434142000.0
ROYAL BANK OF CANADA	1000275	1453080739000000.0
Invesco Ltd.	914208	1452652970398000.0
Capital Research Global Investors	1422848	1417623789073000.0
WELLS FARGO & COMPANY/MN	72971	1384176620756000.0
MANUFACTURERS LIFE INSURANCE COMPANY, THE	928047	1285078997113000.0
MASSACHUSETTS FINANCIAL SERVICES CO /MA/	912938	1168830057198000.0
Legal & General Group Plc	764068	1134150340484000.0
UBS Group AG	1610520	1127700351228000.0
JANE STREET GROUP, LLC	1595888	1067102572841000.0
ALLIANCEBERNSTEIN L.P.	1109448	935713379250000.0
DIMENSIONAL FUND ADVISORS LP	354204	915883599191000.0
DEUTSCHE BANK AG\	948046	877062806547000.0
Nuveen Asset Management, LLC	1521019	860792054047000.0
ENVESTNET ASSET MANAGEMENT INC	1407543	845497173597000.0
BANK OF MONTREAL /CAN/	927971	808943370179000.0
FRANKLIN RESOURCES INC	38777	798842546488000.0
Amundi	1330387	769029991244000.0
CITIGROUP INC	831001	688448419689000.0
VICTORY CAPITAL MANAGEMENT INC	1040188	630593802063000.0
MACQUARIE GROUP LTD	1418333	601146043808000.0
DODGE & COX	200217	590826147157000.0
Aspire Private Capital, LLC	1767340	580853553091000.0
CTC LLC	1445893	534506777832000.0
Sumitomo Mitsui Trust Holdings, Inc.	1475365	510707192404000.0
CREDIT SUISSE AG/	824468	486812816834000.0
VOYA INVESTMENT MANAGEMENT LLC	1068837	469793560440000.0
RAYMOND JAMES & ASSOCIATES	1084208	464523772315000.0
CALIFORNIA PUBLIC EMPLOYEES RETIREMENT SYSTEM	919079	462716651677000.0
PNC FINANCIAL SERVICES GROUP, INC.	713676	452356013796000.0
Bank of New York Mellon Corp	1390777	437889181453000.0
Neuberger Berman Group LLC	1465109	431423317697000.0
MetLife Investment Management, LLC	1529735	422838914100000.0
Clearbridge Investments, LLC	1348883	420659850732000.0
UBS ASSET MANAGEMENT AMERICAS INC	861177	412940554770000.0
D. E. Shaw & Co., Inc.	1009207	377566141410000.0
HSBC HOLDINGS PLC	873630	364820161754000.0
CIBC Private Wealth Group, LLC	1298088	350502933048000.0
JENNISON ASSOCIATES LLC	53417	348731689261000.0
FIL Ltd	318989	344425937771000.0
FIRST TRUST ADVISORS LP	1125816	343010509129000.0
TD ASSET MANAGEMENT INC	1056053	334242168833000.0
BAILLIE GIFFORD & CO	1088875	323298648426000.0
DZ BANK AG Deutsche Zentral Genossenschafts Bank, Frankfurt am Main	1694217	312702998109000.0
1832 Asset Management L.P.	944388	306727896491000.0
JANUS HENDERSON GROUP PLC	1274173	300782971730000.0
ASAHI LIFE ASSET MANAGEMENT CO., LTD.	1564835	291058598820000.0
Creative Planning	1540235	285934898566000.0
STIFEL FINANCIAL CORP	720672	280603254790000.0
NORDEA INVESTMENT MANAGEMENT AB	1218210	277910190412000.0
Parallax Volatility Advisers, L.P.	1521001	268542026367000.0
SCHRODER INVESTMENT MANAGEMENT GROUP	1086619	267139342423000.0
PRUDENTIAL FINANCIAL INC	1137774	255606822340000.0
CANADA PENSION PLAN INVESTMENT BOARD	1283718	253947310924000.0
PUTNAM INVESTMENTS LLC	1421578	253340359831000.0
MACKENZIE FINANCIAL CORP	919859	250008829302000.0
JONES FINANCIAL COMPANIES LLLP	815917	241925255034000.0
Artisan Partners Limited Partnership	1466153	238479070597000.0
Allianz Asset Management GmbH	1535323	223069453383000.0
Raymond James Financial Services Advisors, Inc.	1462284	214392620909000.0
SEI INVESTMENTS CO	350894	211817947343000.0
HARRIS ASSOCIATES L P	813917	205141683530000.0
Russell Investments Group, Ltd.	1692234	201877748050000.0
Belvedere Trading LLC	1632341	199319201064000.0
HighTower Advisors, LLC	1462245	193611539399000.0
MARSHALL WACE, LLP	1318757	192101205749000.0
Aristotle Capital Management, LLC	860644	190676000770000.0
Walleye Trading LLC	1388391	190311340918000.0
ALKEON CAPITAL MANAGEMENT LLC	1230239	184398434755000.0
METROPOLITAN LIFE INSURANCE CO/NY	728618	182764591230000.0
WOLVERINE TRADING, LLC	927337	179610493233000.0
ADAGE CAPITAL PARTNERS GP, L.L.C.	1165408	176519892755000.0
Mitsubishi UFJ Kokusai Asset Management Co., Ltd.	1466546	176104572639000.0
Sanders Capital, LLC	1508097	175585388336000.0
RHUMBLINE ADVISERS	1115418	175582204537000.0
LILLY ENDOWMENT INC	316011	173963183059000.0
Mirae Asset Global Investments Co., Ltd.	1569395	173497945648000.0
BROOKFIELD Corp /ON/	1001085	172122395624000.0
PARNASSUS INVESTMENTS, LLC	948669	164561728052000.0
PICTET ASSET MANAGEMENT SA	1361570	164425610687000.0
Mitsubishi UFJ Trust & Banking Corp	1462160	162663542629000.0
GQG Partners LLC	1697233	161873075261000.0
Temasek Holdings (Private) Ltd	1021944	160947926300000.0
NATIONAL BANK OF CANADA /FI/	926171	160913901110000.0
Point72 Asset Management, L.P.	1603466	159030671125000.0
FEDERATED HERMES, INC.	1056288	153711823756000.0
BILL & MELINDA GATES FOUNDATION TRUST	1166559	153163756721000.0
